Review,Sentiment
"Incredible soup dumplings.  If the thought of delicate dumplings filled with pork and/or crab meat and hot broth gets your juices going, come by and stay awhile.

With the exception of the dumplings, which are among the best I've had in the States, the rest of the food is merely very good for standard Chinese.  The kung pao chicken is a fantastic mix and has just the right amount of kick to it.  The dried sauteed shredded beef is a new favorite in lowdel, oily, spicy, and perfectly filling.

Besides the food, the seating at the restaurant leaves much to be desired.  Small groups may have to share a larger table with another group.  Great if this is your first time and it feeds your diversity/authenticity craving, but just annoying otherwise.

Scalding your tongue here is like:
Watching Seinfeld for the first time, you laugh, it's good, haha, you're older now, it's not perfect, but you have your favorites, which you love even more: no soup dumpling nazi for you.",1
"Welp, Joe's went and moved so might as well review the place now since I can compare the old and new spots all at once. 

First of all, the new location (right on bowery) is bigger, nicer looking, but still somehow feels like the old place. Mostly because there is a line, and you still get a raffle ticket with a number on it that means nothing*. Here are some things that remain the same:

*Cash only
*Tax and tip are included in your bill (but leave a few anyway, as they only give themselves a 15% tip)
*That aforementioned line
*The quality of the food (we will get to this in a moment)

Some things that have changed:
*No liquor license yet, so don't expect a Tsingtao with your dumplings 
*Tea does not come automatically when you sit down, but if you ask they will still bring it...in a soda class now (bring back the teapot guys)
*The bathrooms are nicer
*The place is brighter than the old one

All in all, this place still feels like the Joe's of old, just an updated version of it. The dumplings are still cheap and still good, as is the fried rice. The portions of rice are also still exceedingly generous for the price point and should be shared (unless this is all you're getting, but come on, you're here for soup dumplings and you know it). I hope it gets worn in a little soon though, as Joe's to me should have the feeling of a place that has been around forever - this place is an NYC staple and should feel as such. Yes, the location on Pell St will be missed, but they needed to expand; the fact that there is still a line to get in, even with all the extra seating highlights this. Thanks for keeping the food and the prices the same, I'll absolutely be back for a bamboo tray of soup dumplings soon (no, I'm not sharing, get your own). 
___________
*If you're a party of two just stay in line, they will eventually need to fill a two top and if you're closest to the front of the line, you win.",1
"After having Din Tai Fung soup dumplings in Hong Kong, I thought there was no way I could find a better soup dumpling/XLB out there... Joe's Shanghai proved me wrong. This place is more affordable and by far more authentic, despite attracting the same amount of tourist popularity. 

Expect a wait, and expect to be crammed at a large table with other patrons if you only have 2-4 people in your group. The food comes pretty quickly, but don't expect attentive service here, which is typical of any busy Asian establishment. 

The scallion pancakes are really good. Crispy on the outside, chewy inside, and not too oily. Very flavorful, and the pancake itself is thick. You get a generous portion of soup dumplings for the price, and each dumpling has SO MUCH soup in it... much more than in the XLB from Din Tai Fung. We also ordered the pork with eggplant dish, which was delicious - make sure you get a bowl or two of white rice to go with this. 

All in all, an affordable and extremely satisfying meal. Definitely stop by if you are in the area and looking to fulfill a XLB craving.",1
Love the soup dumplings from this restaurant are amazing!  I tried a few other dishes but that is the one that stood out to me the most as it was my first time trying it.  Not entirely fond of sitting at a table with a bunch of strangers BUT that has nothing to do with the food.  Noodles where good and the scallion pancakes were delicious!,1
I tried this place on the way home from work- it didn't disappoint! The pork soup dumplings were fresh and flavorful and the scallion pancakes were delicious! I'll definitely be back!,1
"So I hope you people visiting NYC have gps on your cell phone because if we didn't, we would have never found this place. It was hidden in China town....where they take you to secret doors in the back that leads you to a room full of designer knock offs. It was kinda fun seeing all the different secret doors and stairs. LOL!!

Anyways...back to food. They have two different soup dumplings...they're both awesome with the vinegar soy sauce. Pick one or the other, or both....you'll love them. 

BTW, if you want to buy gifts to bring home, do all your I love ny shopping in china town. It'll save you a ton of money. You're welcome.",1
"It was a bit hard to find.  And after about a 10 minute wait on a busy beautiful Sunday in NYC during lunch, we were seated at a communal table, which we didn't mind.  

The waiters were not so friendly.  They knew we wanted the dumplings but before we could really look through the menu, he turns the pages for us and leads us right to the 2 choices of dumplings.  He also mumbled and we weren't sure if he got our order.  We wanted something light, because we wanted to walk down the street for dim sum afterwards.  So we got what others have been recommending... the crab/ pork dumplings and the scallion pancakes.  

They arrived a few minutes later and by that time an Englishman, obviously a tourist like us, sat at our table.  He watched us eat the dumplings carefully.  We placed each one on our spoon, bit a small hole, sucked the piping hot soup out, then poured some ginger, vinegar, soy sauce into it to cool it off before eating the rest of the dumpling.  The whole place smelled like the vinegar.  After the Englishman gets his dumplings, he thinks he can just take the whole thing with his chop sticks and pop it into his mouth.  Needless to say he burned his entire mouth and I bet the rest of the 15 dumplings he had to eat were not as enjoyable through a singed palate.  

The scallion pancakes were delicious.  Crunch, chewy, not too overpoweringly oniony.  

The dumplings were a hit as well.  The crab flavor was definitely from the crab roe (boogie, I call it).  I'm not normally a fan of the orange, yellowy goop when I eat fresh crab but the flavor in the dumpling was delicious.  

Despite the place having a ""pending grade"" from the sanitation department, being a bit grimy with not so friendly service... the experience of eating the soup dumpling was memorable.  As well as the price... $13.  Not bad at all.  I was very tempted to get more food off the menu.  It looked delicious as we could see from other tables.",1
"Their pork dumplings are perfect and also such a great deal! This is the only place I ever want to get pork dumplings ever again (5/5) 

We also got the shanghai fried rice (4/5) and the kung pao chicken (4/5, it was good but not the same as I remember two years ago. Last time I went it was the softest and tenderest chicken I'd ever had. this time the consistency was pretty average.) I also loved their scallion pancakes (5/5) so light and fluffy and crispy all at the same time.

Also, the new location is so much nicer than the old one! I cannot recommend this place and their soup dumpling enough!",1
"Came here every time I am in NYC. Always a line up on the dirty Chinatown streets, always cramped and busy inside. 
Juicy crab dumplings and their beef soup noodles are a must! 
Their slow roasted duck is extremely tender and juicy. Give it a try!",1
"You have to go and try the soup dumplings! Sooo good!!! We ate ate a communal table and met some wonderful New Yorkers who gave us some great tips on what to order and where else to go. Great cheap eats, one of our favorite meals!",1
"If I lived in Manhattan, this would be a regular place for me on a cold day.

Their Xiao Long Bao (Shanghai Soup Dumplings) are filled with a lot of soup and tasty meat. The skin was a bit thick for my tastes and the vinegar dipping sauce wasn't vinegar-y enough to balance the soup and thick skin. BUT I've never had that much soup in a Xiao Long Bao before! That seals the deal for me. Very filling.

Also had Scallion Pancake and some Pan Fried Pork Dumpling. Hard to go wrong with fried food :) Better than all the Xiao Long Bao's I've had in San Francisco.",1
"Everytime I'm in New York, I spend the first few days saying ""I want to go to Joe's Shanghai"" over and over again to anyone who even mentions food. Eventually I talk someone into going with me (usually lured by my promise of bringing them to Chinatown ""back rooms"" where you can get Luis Vuitton knockoffs for 25 bucks). I order the pork and crab soup dumplings and a Tsing Tao, and achieve true happiness which will last me until I'm in NY again. Akshay is right - don't bother ordering anything else. The soup dumplings will set you straight.",1
"I feel kind of bad. I've been here countless times and every time I just make a meal out of the Shanghainese dumpling (xiao long bao) or as my friends would call it ""soupy dumplings."" I should really try the rest of their menu. Come here for the xiao long bao and take caution eating it if it's your first time (the soup in the dumpling is hot). The scallion pancakes make a great appetizer and a cold bottle of tsing tao (a chinese beer) helps to cure any burns in your mouth from the ""soupy dumplings.""",1
I go alone so I can stuff as many motherloving soup dumplings my body cavity can hold without being judged by the people I love.,1
Thankfully I know the people running this joint cause the wait is unbearable... the soup buns and scallion pancakes never disappoint. Minus one star cause the sauce for the buns always spill out when getting to go. ; - (,1
"Lately I've been hearing so many great thing about Joe's Shanghai that I just had to try it. Finally on Friday night I made my way to Chinatown ( the hidden part) and after being asked to wait 15 minutes ( not bad at all , I thought it would be hours) I got to experience Joe's Shanghai. Dining here is definitely experience, definitely not a fancy place or anywhere near it, the service is take your order, feed you fast and get you the hell out of there. They seat you randomly with people you don't know but that makes the experience rather fun. Right away they offer you their signature crab or pork soup dumplings. I tried the pork soup dumplings, the waiter taught us how to eat them and damn were they good. We then ordered the sesame chicken which was delicious and full of flavor. The beef and broccoli wasn't my favorite, the broccoli was great but the beef a little chewy. We then had the pan fried noodles with chicken and vegetables and boy were they amazing! I will definitely be back to tried the crispy beef and other goodies. If you're in the mood to eat very casual, fast, fatty, good and cheap this is the place.",1
"CASH ONLY!!! FOOD IS TASTY!!! I love fried rice and general  chicken, but soup dumpling is a little heavy when it is cold!!",1
"What can you say about Joe's that hasn't been said. The vibe of the place, the smell, the formal and prompt service, and of course the soup dumplings. Magic. Deep fried whole duck anyone? Yes please.",1
"Really long wait. Shits good, but When the waiter dropped trow and starting pissing all over the table, I was like WHOA! I mean, I like R.Kelly as much as anyone else, but Geez Louise! Speaking of R.Kelly, has anyone heard the new album? Its surprisingly pretty good...I mean it doesn't hold up to the soul godfathers of yesteryear. I mean he's no Isaac Hayes or Curtis Mayfield, but it's definitely worth a listen.

 But I digress. Food is good, and the wait is really long, but anywhere I can get good dumplings and a golden shower at the same time merits 4 stars in my book! Cheers!",1
Get these dumplings! You will not regret it! Probably one of the best soup dumplings I've ever had. We got pork and they were so delicious!,1
"Read reviews for this place that made my mouth water! Drove all the way from Jersey to this place for the world famous soup dumplings. And oh my God it was delicious. The dumplings were filled with hot soup, the soup was rich and tasty, the skin of the dumplings was thin, the pork was tender, the soup dumplings were just down right succulent. I would def travel all the way back to NYC just for these dumplings, we almost mistaken some other restaurant down the street with a similar name, so make sure it's JOES SHANGHAI! And be careful! They are hot!",1
"Made the trip to Chinatown to pick-up from Joe's Shanghai (via Seamless/Grubhub) and it was well worth the effort. 

We had the Pork Meat Soup Dumplings and a Scallion Pancake for appetizers and both were excellent. We even managed to get the Soup Dumplings home intact (though we accidentally punctured a couple of them In serving them). Though they probably would have been even better if we had been able to eat them in the restaurant, they were still very much a treat.

For our main dish, we had the Peking Duck and it was also very well done. It came with the usual accompaniments (wraps, scallions, cucumbers and hoisin sauce) and was perfect for sharing. 

The service was friendly and efficient.  They have a table setup right inside the door and the food was well packaged for travel.

Great choice for pick-up or delivery!",1
"Decent beef noodle soup for $5, and 8 xiaolongbao for $5?  Pretty cool.  The green onion pancakes (congyoubing) was kind of fried in a funky way - nowhere near what I had regularly in Taipei.

The soup dumplings were pretty good.  They were huge and the skin is thick (which I like).  the filling was okkay..  I think I'm spoiled from Din Tai Fung.

But the price, and the quantity, and just the overall fast, Chinese service makes it pretty great in my book.  

3.5 bumped up to a 4.

Went on a Saturday around 5:15 and was seated in 5 minutes (with 2 other people).

Pretty crowded, but I was a little skeptical at first.  It's filled with bairen. Heh.",1
This place is awesome. Shared a table. Good sized portions. Definitely get dumplings. Super busy and a small wait but you'd expect that with such great food.,1
First experience having xiao long bao .  I took the Chinese bus solo.  Seated at a 6 top with several other people that didn't know each other...and we were all there on a mission.  Xiao Long Bao.... I'd so do it again! The BEST!,1
"Great food, but in Flushing NY not NYC.  Loud, busy, crowded, wonderful!",1
"My girlfriend and I just moved to Chinatown so we Yelped the area and saw this place with the most reviews. LIke everyone else has said, get the pork dumpling to start off with. They seat you at a big round table with a bunch of other strangers so be open to having some one you don't know sitting next to you. Give them some time to cool down or cut open and let the HOT juice out. They have tons of fish, chicken, pork, beef and other dishes to choose from so go hungry. They staff is very fast paced to hurry and make your decision on what you want. When you're finished don't sit and make small talk unless you notice that  there isn't a line out the door of people waiting. If you do stay and they have people waiting they usually get their one staple guys to politely walk by several times and say ' Ok, Thank youuuu......ok, thank youuuuu!'

That's their nice way of saying, thanks for coming now get the ?#&* out :-)",1
"Lived up to the hype. Price are reasonable, portions are large enough to be considered family style. I had the crab meat and pork soup dumplings and the chicken and shrimp with plum sauce. Both were very good. The soup dumplings are a must try and it's what they are famous for. You really cant go wrong with any dish. 

I took a photo after I ate a bunch of dumplings so note the dumplings currently come with 8 (not 4 as in the pic).",1
"I heard this place was famous... So of course as I was in NY I had to go! I am very happy that I did! To be honest, I am giving 4 stars only because the place itself is small and crowded. I was wearing a large, warm jacket and there was no room for it. I felt like I was hitting people as I was walking past them to get to my seat. 

The food itself was absolutely amazing though. It was my first time getting dumplings so I was a tad nervous, but overall I had a great experience.  I had the pork dumplings, put some soy sauce on them, and they were so GOOD. We also got the chicken lo mein, that was pretty good as well. 

Super cool location in Chinatown, I just wish the restaurant was bigger and spaced out differently.",1
"Out of all the Chinese restaurants out here in NYC, this would be the only one I would keep on going to! CHEAP AND TASTY 

There soup dumplings are AMAZING! nothing like its kind in Cali (yet). Be careful while trying to eat them because they make a great splash. Even after +10 times coming here, I still make a big mess. I love taking the first bite and slurping up the soup. Suggest using a spoon to aid in eating. Add vinegar and hot sauce will top it off! The pork dumplings are so bomb, but also try the seafood ones as well. Both so good and delicious!

The other dishes are ok, not to my standard of chinese food, but I suggest just order 2-3 orders of dumpling and that should be good enough for 2 people.",1
"Wow! Amazing soup dumplings. My friends and I got the pork and crab soup dumplings and we both agreed that pork was the best!! (Pork is the classic soup dumpling protein choice). The size of those dumplings are HUGE and filled with plenty of delicious warm soup. I would say they're the BEST soup dumplings I've had. (I've tried the ones in Asia too!)

We also got the fried rice and they were amazing. It was a bit greasy but that's what made it good. Would say it was a guilty pleasure! 

Definitely recommend this restaurant for anyone visiting or in New York. It's a must try! 


Tip 1: Bring CASH!! Most China town restaurants only accept cash. They do have an ATM right outside the restaurant 

Tip 2: Don't be intimidated by the line. You can get seated soon if it's a party of two.",1
"soup dumplings were great, and the sesame pancake was good too. we were there late on a Sunday night, and it was packed! 
service was ok, prices were good, and I will return!",1
"The real deal when it comes to soup dumplings. They don't take reservations I think but expect to wait a bit if busy. Love their fried rice, egg drop soup, soup dumplings, bok choy and lo mein. Casual fast service! Must try.",1
This place was amazing! It was a spur of the moment to go & I don't regret it one bit. The soup dumplings are the best ones I have ever had in my whole entire life & I am 101% sure I'm never going to find another place who makes them as good as them. They do only take cash & it was 45 minute wait with a line out the door BUT it was worth it. I would do it again if I had too.,1
Communal Chinese eating at it's best! Long waits are marginalized when tables of 8-10 strangers share their dining experience. The waiter takes your soup dumpling order before you are even seated. Wonderful food experience - delish eggplant & scallion pancakes at extremely reasonable prices. Super attentive waitstaff.,1
"I loved this new location that they moved to. The new restaurant is beautiful and clean and spacious unlike the old spot. And they're not competing with imitators next door. Came for the soup dumplings. I got greedy and ordered 2 orders so had to take one home and they still tarred so good the next day. My 2 year old daughter loved it. I took some American friends and they only got fried rice but they said it was the best they had.

Make sure you don't come hangry cuz you will have to wait and make sure you bring cash as they are cash only!",1
Soup dumplings are to die for. The scallion pancakes are deft the best... it's family style. You get to engage with other locals. It's a quick in and out though. Super fast service.,1
"The main reason you should step food into Joe's is for the soup dumplings.  they're very, very good.  soupey, porky, savory, and delicious.  Everything else is marginal.  but seriously- why are you looking at the rest of the menu?",1
"CASH ONLY. Love this place. The eggplant dish is so good. Also got some fried rice, divine. This place is usually really crowded so last time we went, we got our food to go which suited us fine. They have a love of food.",1
"I want to give Joe's a 5 star rating on account of their soup dumpings. I dream about these bad boys and have actually ventured all the way to chinatown from the upper east side just to get my fix. 

The rest of the food is decent quality chinese food. Not amazing but not bad, either (hence the downgrade to 4 stars). Go for dumplings and you'll never be disappointed.",1
"Oh. I like the samplings soooo much. 
Also the stuff called ""baozi"". 
I would introduce it to my friends.",1
"The best xiao long bao ever - it's a MUST! I would recommend getting the Shanghai Style Pan Fried Noodles as well. 

If you don't know how to eat xiao long bao (some people in our table didn't know how), just pick up your XLB with your chopsticks and place it in ur spoon then drizzle some soy sauce + ginger on it. Then poke a hole into the XLB with your chopsticks and drink the broth in the spoon and TAKE A BITE! :-) 

The only thing that was weird for me was how we were seated. You basically get seated at a round table with a bunch of random strangers depending on your party number. My boyfriend and I got seated at a table with 4 different parties. I think I'm just used to sitting with my family during dim-sum time, but you totally forget about this once you get your food!

TIP: I would recommend ordering one dish at a time. My boyfriend and I got pretty full after an order of XLB and the Shanghai Noodles.... we still ordered another XLB though...",1
"Walked by and noticed there wasn't a huge line, so I made it a deal to visit again.

Last time I came to Joes Shanghai, I wasnt too crazy about the place itself- since the service was ok and I was being seated with complete strangers which got pretty awkward. However, the pork soup dumpings made it all worth it.

This time around it wasnt as busy, so the service was better as expected. I was just with my boyfriend, so I had to sit with random people again. I guess since I knew what I was expecting, it wasnt awkward at all. The other couple at the table were actually visiting from California and didnt know what to order, and I found myself babbling about how great the place is to convince them to get the soup dumplings.

After not much convincing (literally like 5 seconds later) the other couple also ordered soup dumplings. And we all sat and raved how great they were as we were eating them hahah

Seriously the best soup dumplings ever though.",1
"I hate to give them a 5 star cause the wait and the service was horrible. But they were that good. 

We got to Joe's around 6pm on a Sunday and there was a crowd already. Hostess said 30 minutes so we waited. LIAR!!! took us an hour. But oh well. 

We were seated with another party of two on the same table. It was super awkward but after the food came out we didnt care. 

We had the

128. Singapore Chow Mai Fun - AHHHHH DONT GET THIS!! we tried to be adventurous and we failed. Miserably. 

The Crab soup dumplings and the scallion pancakes were bananas. Twice as big ad Din Tai Fung. The soup is also way more dense. It was too delicious. We were moaning after a couple bites. Sorry table next to us. We messed up with the order and they cancelled our pork dumplings but we were too stuffed . Next time Joe's! 

Also, we left around 8pm and they were calling numbers saying some people wont be able to be seated so get there early.",1
"CASH ONLY.

Absolutely love XLBs and heard this was THE spot to check them out (from Chicago so there surprisingly aren't many good places for XLB).

Came here on a Sunday afternoon and no surprise, there was a line. We had a party of 5 and didn't have to wait too long, maybe 20-30mins? Estimated was 45-60 so we were quite happy! 
Please note your entire party must be present to be seated.

*We were all seated in a big round table with other parties. Looks like they do communal seating to maximize tables. We didn't feel too squished luckily but perhaps not everyone's cup of tea.*

Ordered the two crab and pork XLB and two regular pork one (each order came with 8 baos). Both were absolutely amazing! Perfectly thin skin with a delicious broth inside. They also give you a dish of soy sauce/vinegar/ginger mix. The party next to use ordered fried rice only and we couldn't believe it, but to each their own! 

Would definitely come here again the next time in NYC - for more XLB and probably try some of their other dishes!",1
I highly recommend this place for its authentic food and good service. Don't let the tightness of the place be a bother. Just be a part of the celebration of the Shanghai's best.,1
"Just here to reiterate what everyone else has already reviewed:

After the rave reviews of a couple friends, and trying some soup dumpings in the SF bay area, I can say with conviction that these soup dumpings are worth the hype.

I was even more impressed by the Shanghai Noodles.  If you visit this place, you NEED to order the shanghai noodles.... this is NOT an option.

This is definitely going to be a stop of mine with every trip to NYC.",1
"What an interesting dinner experience! 

Pops and I were staying in Lower East during our trip to NY and we knew we had to visit Chinatown at least once, being so close to the area. We decided to grab dinner as well and found this great place!
Obviously one of the most famous places in the neighborhood, we knew we had to drop in to taste their famous xiaolongbaos.

The arrangement of the restaurant was quite a sight. All these different groups of people were seated in the huge round tables with other strangers. It was interesting to share a table with 8 other people that I had never met before. 

Service was very quick even though the place was packed. We got the xiaolongbaos and eggplant dish. As I had expected, the soup dumplings were absolutely delectable. The soup was so wonderful and there was no need to dip the dumpling in the soy sauce. The eggplant was very delicious too. Portions were huge and we had to ask for a side bowl of rice to eat with the eggplant since the sweet taste was very strong. 

Although it was a tad bit uncomfortable to share a round table with strangers... It was a fun experience and the delicious food soon made me forget about the awkward crowdedness. Seriously, those dumplings really were amazing!!",1
Joes shanghai is known for their soup dumpling and let me tell you it's very good. It comes out hot and taste amazing.,1
"Pretty good dumplings.   I also got vege crispy pan fried noodle, and scallion pancake.

Scallion pancake is s dish that's hard to go wring with and theirs did not dissappoint.

Pan fried noodles had a bit too much sauce, but i thought it was pretty good.


They didn't have a ton of stuff my picky girlfriend wanted to eat, but maybe that's because she was not in a good mood.   I think the scallion pancakes cheered her up a little bit though.


This place is probably better for parties of 4+. Dishes are huge, so be careful not to over order.",1
"OKAY BEST PORK SOUP DUMPLINGS EVER. Blown away. Could have eaten 20 of them myself. The other food was way good too, but definitely make sure to get the pork soup dumplings. That's a MUST!!! The line is usually long so plan on about a 45-60 min wait. Luckily there's fun little shops and you can walk around China town to kill time.",1
"We were in China town and we wanted to find a really good restaurant in that area so we decide to yelp it and this restaurant came up with a four star rating so we had to try it.  

The place was packed with tourist.  The waiters were not that helpful with the menu, but we found out by neighbors seated next to us that the place was known for its soup dumplings (which were excellent).  
Definitely worth it.",1
good pork steamed buns and snow pea leaves.,1
"This review will also be jumping on the soup dumpling hype train that Joe's Shanghai so rightfully deserves.

On top of the raving reviews already placed here, I'd like to add one more note about the soup dumplings: even if you are a baby in chopstick using years, the likelihood of you getting dumpling to face while retaining soup in said dumpling has gone up 100% because the top of the dumplings are rather firm and the skin is thick enough that if you pull gently but firmly, you will be rewarded with soup galore.

Trust me, if you're going on a first date and you're going with someone who knows their chopsticks but you're not prepared for that chopsticks interview but you still want to pass off as somewhat knowledgeable of good food in NYC, order those soup dumplings so that 1) the most awkward part of the date is not that you don't have a table to yourself to create intimacy but it's that you might make a fool of yourself with lack of chopsticks skills but it turns out 2) any type of wiggling chopsticks will still get those dumplings where they need to be: your stomach, 3) your date will be so distracted by how fabulous the soup dumplings taste that your date won't even notice you struggling to convert dumpling to mouth, and 4) you haven't gone to the ATM in weeks but these dumplings are $7-10 for 8 per order and you had $20 in your pocket anyway so phew! you got this. Second date in the bag. Now go get ramen.",1
"Joe's Shanghai has the best xiao long baos ever!

I have never said that about a xiao long bao, and I might not ever say that ever again for another restaurant. Thanks to a recommendation from a friend who came here a few months prior, I'm glad I made the stop here for dinner. Came in around 6pm, and my friend and I were seated immediately. Because we're a small party in a trendy restaurant, naturally the servers would seat us at a big table to share with other customers. The restaurant has that typical Chinese restaurant setup, which I'm glad because a lot of popular restaurants would have probably conformed to a more modern look.

My friend and I shared the crab and pork soup dumplings.

YES, THEY CAME. Everything came out hot and fresh, and was just YES. Not even a dollar per dumpling, AND the dumplings were filled to the max with flavorful soup? How could anyone resist?! Even adding a piece of ginger and some vinegar sauce on the side made it delicious. I was extremely satisfied with solely the taste. It's hard to find really good XLBs like these too.

WARNING: Soup is burning hot inside so be careful not to take a huge bite.

Made. My. Day.",1
The soups dumplings are okay. For NYC they're pretty good. Other dishes are many typical Americanized Chinese dishes.,1
"By far the best Xiao Long Baos (pork meat soup dumpling) I've ever had! I've had quite a few but these are definitely my favorite. The size, price, texture, quality, and taste were all great. Had to get a whole 2nd order of them after seeing how good they were.

Highly recommend!",1
"My first time at Joe's Shang hai. Had always heard good things and had to try it for myself!

Prices were very good and the food is so filling. We ordered soup dumplings and scallion pancake. They give a lot and it really fills you up. Great service and short wait. 

Pretty good and highly recommend!",1
"I love this place over din tai fung. 
There's a hustle and bustle to this restaurant. Just be prepared to feel claustrophobic 
Food is great!!!! Definitely recommend the soup dumplings. They need to franchise this place!!!!!",1
"Soup dumplings. Enough said.

But if you want a few more words, I like to order the scallion pancake. My boyfriend had the seafood noodles once and it was a huge bowl with a colorful arrangement of seafood pieces (shrimp, crabmeat, that squiggly pink thing you see in ramen) and veggies. We love our veggies!",1
"It's almost impossible to get a table at this place because the lines are so long, so I ordered takeout on Grubhub instead. I ordered the pork meat soup dumplings and the scallion pancakes. The downside of getting them to-go is that they're not steaming hot when you go to eat them. Still, the soup in the soup dumplings is probably the best soup I've ever had in a soup dumpling. I can see the hype behind this place. It's worth it!",1
"Best spot for dumplings and so much more! I always make sure to order from this place (in the pandemic) if I'm at all nearby. Pre-COVID, the long wait was worth it.",1
"As close to traditional Chinese food you will ever get  at a restaurant in Manhattan. 
Soup dumpling are fenominal but also the whole fish is delicious. 
If you love fish, I recommend getting any fish prepared whole on the menu.",1
"The reviews are true. It is good, I had the spicy beef specialty and a soup dumpling. It's pricey but they are shareable for two",1
"The first time i've ever had soup dumplings was at Joe's.  Since then i have found Shanghai Cafe who's soup dumplngs are better than Joe's and you dont have to share a table with other parties.  I do love Joe's but it has become a tourist spot and the quality and service isn't what it used to be.  Dont get me wrong, the food is great.  The sesame chicken and the fish in black bean sauce are awsome.
I just dont unerstand why the prices would be higher at their other locations.  The location in Queens has to be the worst when it comes to service.",1
